CustomerID,Gender,IsElderly,IsMarried,HasDependents,Tenure,PhoneService,InternetService,SecurityService,TechnicalSupport,StreamingTV,ContractType,PaymentMethod,MonthlyPayment,TotalPaid,Churn
7590-VHVEG,female,False,True,False,1,False,dsl,False,False,False,month-to-month,electronic check,29.85,29.85,False
5575-GNVDE,male,False,False,False,34,True,dsl,True,False,False,one year,mailed check,56.95,1889.5,False
3668-QPYBK,male,False,False,False,2,True,dsl,True,False,False,month-to-month,mailed check,53.85,108.15,True
7795-CFOCW,male,False,False,False,45,False,dsl,True,True,False,one year,bank transfer (automatic),71.45,1840.75,False
9237-HQITU,male,False,False,False,2,True,fiber optic,False,False,False,month-to-month,electronic check,71.45,151.65,True
9763-GRSKD,male,False,True,True,13,True,dsl,True,False,False,month-to-month,mailed check,71.45,587.45,False
7469-LKBCI,male,False,False,False,16,True,no,False,False,False,two year,credit card (automatic),71.45,326.8,False
8091-TTVAX,male,False,True,False,58,True,fiber optic,False,False,True,one year,credit card (automatic),71.45,5681.1,False
0280-XJGEX,male,False,False,False,49,True,fiber optic,False,False,True,month-to-month,bank transfer (automatic),71.45,5036.3,True
5129-JLPIS,male,False,False,False,25,True,fiber optic,True,True,True,month-to-month,electronic check,71.45,2686.05,False
3655-SNQYZ,male,False,True,True,69,True,fiber optic,True,True,True,two year,credit card (automatic),71.45,7895.15,False
8191-XWSZG,female,False,False,False,52,True,no,False,False,False,one year,mailed check,71.45,1022.95,False
9959-WOFKT,male,False,False,True,71,True,fiber optic,True,False,True,two year,bank transfer (automatic),71.45,7382.25,False
4190-MFLUW,female,False,True,True,10,True,dsl,False,True,False,month-to-month,credit card (automatic),71.45,528.35,True
4183-MYFRB,female,False,False,False,21,True,fiber optic,False,False,False,month-to-month,electronic check,71.45,1862.9,False
8779-QRDMV,male,True,False,False,1,False,dsl,False,False,False,month-to-month,electronic check,71.45,39.65,True
1680-VDCWW,male,False,True,False,12,True,no,False,False,False,one year,bank transfer (automatic),71.45,202.25,False
1066-JKSGK,male,False,False,False,1,True,no,False,False,False,month-to-month,mailed check,71.45,20.15,True
3638-WEABW,female,False,True,False,58,True,dsl,False,True,False,two year,credit card (automatic),71.45,3505.1,False
6322-HRPFA,male,False,True,True,49,True,dsl,True,True,False,month-to-month,credit card (automatic),71.45,2970.3,False
6865-JZNKO,female,False,False,False,30,True,dsl,True,False,False,month-to-month,bank transfer (automatic),71.45,1530.6,False
6467-CHFZW,male,False,True,True,47,True,fiber optic,False,False,True,month-to-month,electronic check,71.45,4749.15,True
8665-UTDHZ,male,False,True,True,1,False,dsl,False,False,False,month-to-month,electronic check,71.45,30.2,True
5248-YGIJN,male,False,True,False,72,True,dsl,True,True,True,two year,credit card (automatic),71.45,6369.45,False
8773-HHUOZ,female,False,False,True,17,True,dsl,False,False,True,month-to-month,mailed check,71.45,1093.1,True
3841-NFECX,female,True,True,False,71,True,fiber optic,True,True,False,two year,credit card (automatic),71.45,6766.95,False
4929-XIHVW,male,True,True,False,2,True,fiber optic,False,False,True,month-to-month,credit card (automatic),71.45,181.65,False
6827-IEAUQ,female,False,True,True,27,True,dsl,True,True,False,one year,mailed check,71.45,1874.45,False
7310-EGVHZ,male,False,False,False,1,True,no,False,False,False,month-to-month,bank transfer (automatic),71.45,20.2,False
3413-BMNZE,male,True,False,False,1,True,dsl,False,False,False,month-to-month,bank transfer (automatic),71.45,45.25,False
6234-RAAPL,female,False,True,True,72,True,fiber optic,True,True,True,two year,bank transfer (automatic),71.45,7251.7,False
6047-YHPVI,male,False,False,False,5,True,fiber optic,False,False,False,month-to-month,electronic check,71.45,316.9,True
6572-ADKRS,female,False,False,False,46,True,fiber optic,False,False,False,month-to-month,credit card (automatic),71.45,3548.3,False
5380-WJKOV,male,False,False,False,34,True,fiber optic,False,False,True,month-to-month,electronic check,71.45,3549.25,True
8168-UQWWF,female,False,False,False,11,True,fiber optic,False,False,True,month-to-month,bank transfer (automatic),71.45,1105.4,True
8865-TNMNX,male,False,True,True,10,True,dsl,False,False,False,one year,mailed check,71.45,475.7,False
9489-DEDVP,female,False,True,True,70,True,dsl,True,False,True,two year,credit card (automatic),71.45,4872.35,False
9867-JCZSP,female,False,True,True,17,True,no,False,False,False,one year,mailed check,71.45,418.25,False
4671-VJLCL,female,False,False,False,63,True,dsl,True,True,True,two year,credit card (automatic),71.45,4861.45,False
4080-IIARD,female,False,True,False,13,True,dsl,True,True,True,month-to-month,electronic check,71.45,981.45,False
3714-NTNFO,female,False,False,False,49,True,fiber optic,False,False,False,month-to-month,electronic check,71.45,3906.7,False
5948-UJZLF,male,False,False,False,2,True,dsl,False,False,False,month-to-month,mailed check,71.45,97.0,False
7760-OYPDY,female,False,False,False,2,True,fiber optic,False,False,True,month-to-month,electronic check,71.45,144.15,True
7639-LIAYI,male,False,False,False,52,True,dsl,True,True,True,two year,credit card (automatic),71.45,4217.8,False
2954-PIBKO,female,False,True,True,69,True,dsl,True,True,False,two year,credit card (automatic),71.45,4254.1,False
8012-SOUDQ,female,True,False,False,43,True,fiber optic,False,False,True,month-to-month,electronic check,71.45,3838.75,False
9420-LOJKX,female,False,False,False,15,True,fiber optic,True,False,True,month-to-month,credit card (automatic),71.45,1426.4,True
6575-SUVOI,female,True,True,False,25,True,dsl,True,True,True,month-to-month,credit card (automatic),71.45,1752.65,False
7495-OOKFY,female,True,True,False,8,True,fiber optic,False,False,False,month-to-month,credit card (automatic),71.45,633.3,True
4667-QONEA,female,True,True,True,60,True,dsl,True,True,False,one year,credit card (automatic),71.45,4456.35,False
1658-BYGOY,male,True,False,False,18,True,fiber optic,False,False,True,month-to-month,electronic check,71.45,1752.55,True
8769-KKTPH,female,False,True,True,63,True,fiber optic,True,False,True,one year,credit card (automatic),71.45,6311.2,False
5067-XJQFU,male,True,True,True,66,True,fiber optic,False,True,True,one year,electronic check,71.45,7076.35,False
3957-SQXML,female,False,True,True,34,True,no,False,False,False,two year,credit card (automatic),71.45,894.3,False
5954-BDFSG,female,False,False,False,72,True,fiber optic,False,True,True,two year,credit card (automatic),71.45,7853.7,False
0434-CSFON,female,False,True,False,47,True,fiber optic,False,False,True,month-to-month,electronic check,71.45,4707.1,False
1215-FIGMP,male,False,False,False,60,True,fiber optic,False,False,True,month-to-month,bank transfer (automatic),71.45,5450.7,False
0526-SXDJP,male,False,True,False,72,False,dsl,True,False,False,two year,bank transfer (automatic),71.45,2962.0,False
0557-ASKVU,female,False,True,True,18,True,dsl,False,True,False,one year,credit card (automatic),71.45,957.1,False
5698-BQJOH,female,False,False,False,9,True,fiber optic,False,False,True,month-to-month,electronic check,71.45,857.25,True
5122-CYFXA,female,False,False,False,3,True,dsl,False,True,True,month-to-month,electronic check,71.45,244.1,False
8627-ZYGSZ,male,False,True,False,47,True,fiber optic,False,False,False,one year,electronic check,71.45,3650.35,False
3410-YOQBQ,female,False,False,False,31,True,dsl,False,True,True,two year,mailed check,71.45,2497.2,False
3170-NMYVV,female,False,True,True,50,True,no,False,False,False,two year,bank transfer (automatic),71.45,930.9,False
7410-OIEDU,male,False,False,False,10,True,fiber optic,True,False,False,month-to-month,mailed check,71.45,887.35,False
2273-QCKXA,male,False,False,False,1,True,dsl,False,True,False,month-to-month,mailed check,71.45,49.05,False
0731-EBJQB,female,False,True,True,52,True,no,False,False,False,one year,electronic check,71.45,1090.65,False
